,content,comment_all,label
9982,		#王嘉尔##热血街舞团# 王嘉尔或因加盟爱奇艺《热血街舞团》遭优酷全面封杀，目前优酷视频已将王嘉尔的相关视频全面下架，网传王嘉尔之前已答应录制优酷《这就是街舞》，合同也已确定。这次究竟是双方争夺艺人惹出事端，还是王嘉尔出尔反尔？你们怎么看？ ​		,不想理你，大家不要供献热度，谣言止于智者	优酷和汪涵合作深入，而何炅一直特别挺王嘉尔，这……不好意思，我在瞎想。	笑死人，这个营销号说的自己好像亲眼看见了一样真签了合同优酷会不官宣吗？谁会放过这么好的机会？敢情营销号写东西都是这样乱写经不起推敲的？[费解][允悲]	我觉得腾讯，芒果，爱奇艺，b站的视频很好看。[吃瓜]1[吃瓜]	举报	一个大公司这么针对一个艺人也是够小心眼	活该	又改成这就是街舞了是吗…改不完的名字…[允悲]	我还有腾讯，爱奇艺，B站，芒果看的挺好的	连你也发，合同已经“确定”这种模棱两可的词你也写的出来？我另一个微博号关注你们好久了。。。失望[失望]1[失望]	别乱说好不，我在爱奇艺泡泡上看嘉尔行程，这就是街舞易烊千玺黄子韬王嘉尔，节目暂定，并没有敲下来，可能爱奇艺就签了，毕竟我嘉太火，你优酷不确定，还有百事和vivo赞助呢	网传合同确定......不就是你这种人在传吗	,0
9983,谁的群最多，帮忙转一下，找一名弥度职中学生，叫刘冻雪，16岁，请速回鲁甸县医院，妈妈伤的很严重，想最后见她一面，姐姐号码：13751977218，爱心接力，不转对不起自己，好人有好报2祥临公路,,-1
9984,		妈蛋，以色列在战术层面的这些神操作真是令人叹为观止 以战机以俄罗斯战机为掩护并释放电子干扰， 让叙军的俄罗斯产S200打中了俄军机。估计连俄军机上的识别系统也一起电子干扰了这招以子之矛攻子之盾，用得狠。毛子知道以色列在耍阴的，也没办法，以色列后面站着美帝 ​			...展开全文c		,,0
9985,帮朋友转的，急找孩子，求转，求帮忙寻人启事13940292999。有线索酬金10万，今天上午一个三岁多小女孩在锦绣花园小区附近被人拐走了，小女孩能说出她爸爸的手机号码从监控上看是被一个四十多岁男人抱走现大人都急疯了有知情者请告之万分感谢看到信息的兄弟姐妹留意一下联系人宁继春13940292999,你受骗上当了，这是虚假消息！请看辟谣网址（O谣场现形记）。尽快删除帖子，因为已被举报。	回复@花自漂零的天空:晕，我真的不知道，是朋友在微信里发的，以前是同事，所以就帮她转了。	,-1
9986,		#不情愿的新娘# 看的吻戏最多的一部泰剧从第一集到第四集数不清哈哈哈哈虽然是沙雕剧情 十年前晋江言情小说的梗 但完全停不下来🙊🙊男女主甜炸啦 全程姨母笑啊 ​		,后面要虐[泪]	都在哪里看的?	,0
9987,#商界大搜罗#【滴滴司机打投资人张桓！滴滴回应称：抱歉，很震惊，将垫付医疗费】4月28日，滴滴投资人张桓自曝被滴滴司机殴打。随后，滴滴发布声明称，司机账户已被紧急冻结，平台将探望张桓先生并垫付医疗费用，并配合警方调查。...,狡猾的炒作！！！！[挖鼻]	别人是来赚钱的，应该有别的原因吧	滴滴:很震惊，已交由律师处理[doge]	大水冲了龙王庙	很屌哦😯	祝贺滴滴打车成功研发出滴滴打人功能[二哈]	发生过那么多滴滴司机引发的恶性伤人事故，滴滴还安然无恙，可见背后大树很高啊！	滴滴越来越像垄断性国企了。美团打车什么时候到北京啊！	不知感恩，还恩将仇报，可恶，必须严惩不贷！！！！	滴滴后台很厉害，他就像垄断所有，唯独它一家挣钱。如今滴滴外卖在无锡跟美团饿了么，闹的够厉害了都是图老百姓的钱啊！	没有无缘无故的爱(投资)，也没有无缘无故的恨。。。	啥情况？你是不想付钱吧	中间肯定有误会，不然能无故打人	,1
9988,#吉林市春芽中东幼儿园事件#就怕事不大！,,1
9989,爸爸买了我很喜欢的芝士蛋糕和三明治……可惜我现在什么味道都吃不出来也闻不到气味……嗅觉味觉完全失灵(｡•ˇ-ˇ•｡)有种浪费食物的感觉，我还是啃两块西瓜去睡觉吧_(:з」∠)_,,1
9990,#平安守护#2018年1月21日晚，尉氏县城一白色轿车闯红灯，执勤的尉氏县公安局交警大队民警追上去拦停该车，对驾驶员给予教育和处罚。尉氏交警提示司机朋友：请安全驾驶，遵循交通法规，对自己对他人的安全都能得到保证。,,1
9991,马天宇，因为是你，所以我相信@馬天宇  对于凉生这部电视剧，虽然不知道到底发生了什么，那些说要减马天宇戏份的谣言，如果是真的，那凉生播了我一定不会看！虽然等了很久，但那都是因为马天宇，也仅仅因为马天宇！还有……你们不要再说马天宇怎么怎么样！我相信我喜欢的人是一个善良、有责任的人，他怎么样不用你们来评判！所有羽毛都是长了脑子的人，自己会看，不用你们在旁边说三道四！在我们眼里马天宇就是最善良，最好的偶像，他带给我们正能量。引领我们向上，不断成长，所以请不要随意诋毁他！#全民比心# |郑州·郑州...,,0
9992,		#不可思议的妈妈#发光的小天使@李希侃_LXK 来做客啦~狐狸哥哥和宝贝们的奇幻旅程到底发生了什么呢？跟着满分微笑的李希侃哥哥一起畅游迪士尼乐园吧~今日份的狐狸哥哥也是全糖超甜 ​		,快来看看我们的小侃哥哥阿O网页链接	狐狸哥哥超甜，小朋友们也超甜@李希侃_LXK;;	期待狐狸哥哥与小朋友们的互动@李希侃_LXKO网页链接	早啊阿不	期待李希侃	是我们超级期待的小侃哥哥了¡评论配图[羞嗒嗒]	宝贝好甜啊~@李希侃_LXK	#李希侃[超话]#超级甜的李希侃	[舔屏]1[舔屏]	期待超甜的狐狸哥哥¡评论配图	终于快要播出了，真的好期待这个可爱的李希侃哦@李希侃_LXKO网页链接	正能量的小哥哥谁不爱呢@李希侃_LXK[心]1[心]2[心]	周四会准时看我们的小侃哥哥的[羞嗒嗒]	迫不及待想看甜甜的狐狸哥哥！	期待希侃的表现谢谢不可思议的妈妈节目的支持@李希侃_LXK	李希侃超话星期四八点不见不散！	迫不及待的想要看到李希侃和小朋友的互动呢	期待我们狐狸哥哥@李希侃_LXK;;[羞嗒嗒]	超甜小帅哥～爱你@李希侃_LXK;;¡查看图片	超温柔的#李希侃[超话]#O网页链接[可怜]1[可怜]	李希侃带娃啦！！！¡评论配图	周四快点来啊[爱你][爱你]5[爱你]2[爱你]1[爱你]4[爱你]3	看到宝贝心情都好了周四快来！！！[亲亲][亲亲]1[亲亲]2	期待我们小侃哥哥啦！	是个温柔的小哥哥呢！¡评论配图[爱你]	努力正能量的小侃哥哥[爱你]	是温柔的小侃哥哥没错了~¡评论配图[羞嗒嗒]1[羞嗒嗒][羞嗒嗒]2	李希侃啊啊啊	期待小侃哥哥和小朋友们的互动～¡评论配图	是甜如西柚汁一般的小🦊呀～¡评论配图[羞嗒嗒]	他真的好温柔	期待后天晚上滴李希侃	温柔帅气的李希侃呀！¡评论配图	努力正能量的小狐狸超级喜欢	,0
9993,		哪來全面停工的消息？！經紀人與工作室從沒這樣回應媒體過！ 謠言止於智者，可別亂生事！ 美媛的工作照常進行著，美媛才捨不得可愛的粉絲們呢 敬請期待新作品 ​		,,0
9994,		#内蒙古观察#《内蒙古养老金调整方案正待批复 网上传闻系谣言》近日，网络上关于我区调整养老金的传闻越来越多。对此，内蒙古晨报全媒体记者从内蒙古人力资源和社会保障厅日前召开的2016年上半年新闻通气会上获悉，内蒙古养老金调整方案正待批复，网上的传闻均属于谣言。http://t.cn/RtJxwjN		,回复@张大曦的赞:[作揖]	,0
9995,//分享网易跟贴《北京幼儿园被曝猥亵幼童家长:亲手将孩子交给禽兽》来自@网易新闻客户端#网易新闻#,,1
9996,		网传李文星可能误入传销组织，可为什么漏洞那么多，李文星还是执意要去这家“上市公司”？这么容易就相信？他已经找了很久的工作了，想从事java工作，经过突击学习后，就开始找工作了，几个月的求职煎熬，“北京科蓝”的通知成了他的救命稻草，有人说某招聘平台害死了李文星，但我认为还那平凡的梦想！ ​		,java不是那么容易干的	希望各招聘平台加上对入驻企业真实性的核实	不是可能是就是	这肯定是传销，希望这血的教训能够引起有关部门的重视	,0
9997,妇幼保健院提示您，请不要给宝宝喝爽歪歪和有添加剂的牛奶饮料，告诉家里有小孩的朋友，刚看了新闻：可口可乐、爽歪歪。娃哈哈AD钙奶、多美滋、雅培、、美汁源果粒奶优菠萝味的。都含有肉毒杆菌。现在紧急召回，希望有儿女的爸爸妈妈相互转告。[尴尬]这个一定要转～～2和平路,,-1
9998,		#扶摇##镇魂##延喜攻略# 最近的编剧怎么了扶摇黑化流传要be隔壁镇魂be延禧宫略皇后要挂媚者无疆开虐虐虐更开心是伐 ​		,是的，哈哈哈哈	不不扶摇结局是HE	好像扶摇最后被帝非天附身黑化了太子刺死了扶摇吧然后自杀了	延禧攻略傅恒缨络be	,0
9999,急找孩子，求转，求帮忙帮忙扩散，昨天上午一个三岁多小女孩在石家庄荣景园小区附近被人拐走了，小女孩能说出她爸爸的手机号码从监控上看是被一个四十多岁男人抱走了现大人都急疯了有知情者请告之万分感谢看到信息的兄弟姐妹留意一下联系人张静杰13759695559@志愿者静宇2109国道,前排	好想去找你	啊～～～！好帥！😍😍😍	连你的抬头纹都是这么的帅气哈哈哈哈	这特么迷人的微微侧脸！！虐我千百回我都愿！	高颜值特工组去执行任务吗O网页链接	@斐查兹约车夫海獭老鱼宇哥速速赶来！第二张巨像pjx[嘻嘻]	bosco這個顏值簡直是逆生長呀🤣¡评论配图	@山林川泽_这两个流弊	！！！我两大男神同框了！！！	帅！！	我第一次看成上海！白激动了！！！	@MJF_III	真的是你家手表也。@瑞士拜戈表	bb好帅[米奇比心]	@七夜_杜兹肺鱼	@0Bobo-	真好看	帅的嘞[挤眼]	佩佩的剪刀手？？[笑cry]1[笑cry][笑cry]2[笑cry]3	就没有人夸我精灵王佩佩吗O网页链接[太开心]	帅哥，约个会吗[污][笑而不语]	颜值吹爆了;;坐等新剧;;;剧荒了	喜欢你的第三天莫非是看到让发自拍的私信了巧合巧合;;;@黄宗泽	就喜欢这张脸花心脸[污][污]1[笑而不语]	越来越爱你了❤	帅的一逼[good]	在中国式俊朗的身边，老外的颜值显逊色[赞][赞]1	快冻死了	其实你早已经系我心目中噶视帝了	怎么样才能泡到黄宗泽？？？？在线等	你最好看	那不是佩佩吗	一如既往的帅	俩美男	[心]1[心]2[心]	,-1
10000,		#蔡徐坤# #蔡徐坤偶像练习生#紧急举报有害1网页链接此人顶着蔡徐坤头像四处招黑!反黑组核实后发现微博也只有三条蔡徐坤相关，所以此人为披皮黑反黑组说过顶着蔡徐坤头像就要专注自家!否则无论是谁按照披皮黑处理!谢谢合作! ​		,无语啊，举报好多次了	无语啊卡	这个批皮黑举报了多少遍怎么还在啊啊啊啊啊啊，是谁家这么贱好好的人不做，非要搞这些小动作啊我气死了，孽力回馈吧[弱][弱]5[弱]6[弱]3[弱]4[弱]1[弱]2	举报好多次了，这人有毒吧	这个真是不要脸了，当初惹流量	卡已经举报过看来已经被挂过了	靠举报好几次了	卧槽辣鸡去死吧[怒骂][怒骂]1[怒骂]2[怒骂]3	卡	已经举报过了这个披皮黑真不要脸祝你蒸煮糊穿地心	卡	卡	卡这个pph举报了不知道多少次了怎么还在这	卡	卡	卡，这个人好气啊，乱跑别家超话给我们招黑	卡;;他就是个职黑;;我都已经拉黑过他了	卡	卡	卡	卡	卡	卡	卡	卡	卡	卡	卡	卡	卡	卡	卡	卡	卡	卡	卡	卡	卡	卡	卡	卡	卡	,0
10001,		《朋友圈疯传的“雪地老人”他是我的父亲，已走失七年》本报讯（记者 朱长振 文 图）一场暴雪过后，郑州的气温直线下降，接连几天，来…网页链接 ​		,,0
10002,帮朋友转的！刘波全家跪谢大家了！快转！刘波，电话：15864936688，今天上午的5岁儿子在成都双语幼儿园附近被人拐走了，儿子能说出他妈妈的手机号码从监控上看是被一个三十多岁女人抱走了现我们家老奶奶都急疯了有知情者请告之万分感谢看到信息的兄弟姐妹留意一下联系人刘波，电话：15864936688，如果看一眼懒得转的冷漠人也请你伸出手指按3秒看到就转转吧我们都会有孩子谢谢你,,-1
10003,瞪,瞪我就现在O网页链接[羞嗒嗒]1[羞嗒嗒]	这都多老的图了[doge][doge]2[doge]1	哈哈哈哈哈哈哈哈哈哈哈我也瞪O网页链接	;;;;;;O网页链接[喵喵][喵喵]1[喵喵]2	图片评论O网页链接	鬼老师：安静！[doge]	连我都开学了O网页链接[二哈][二哈]1[二哈]2[二哈]3	老师你的手机壳!快拿好!O网页链接	老师你别瞪我我写完作业了O网页链接	今晚20:20湖南卫视《快乐大本营》见O网页链接[奥特曼]2[奥特曼][奥特曼]1	吓死啦吓死啦[允悲]	帅的啊胡老师，出师表全文背诵一遍	很久没看快乐大本营了，今晚蹲你[doge]	图片评论O网页链接	这更博速度可以，继续保持O网页链接[二哈]	开学啦好O网页链接[偷笑]	同学们准备好小板凳了吗，我们的胡老师开课啦O网页链接[哈哈]	卞兄你红了连我三个月没发一条微博的人都长粉了[允悲]	无常会出成一首歌吗	你今天是重庆吴彦祖本人了O网页链接	：我是gai来自重庆GOSH勒似雾都！：这是pgone来自TripleH红花会aka万磁王：哟这是你的男孩tizzyt从768到广州我从货运站到码头youfeelme！;;;;;;;;我是鬼卞来自重庆实验一小..	,1
10004,说故意杀人的你们真的有智商？//【男子东莞被运钞员枪杀案:家属最终获赔180万】,,1
10005,		【@金志文-GT 把《关关雎鸠》唱给你听】“关关雎鸠，在河之洲。窈窕淑女，君子好逑。”三千年前，人们用诗词畅言爱意；三千年后，金志文与湖北房县一群普通的民歌爱好者，在田间地头与千年经典发出碰撞，以最真实的生命歌唱经久不息的华夏篇章！ CCTV经典咏... ​​​		,#金志文#“言念君子，温其如玉。”用来形容经典传唱人@金志文-GT;;演绎的关关雎鸠-金志文最贴合不过了好词曲、好节目、经过这么优秀的经典传唱人、优秀的幕后工作人员的演绎必将永流传#经典咏流传#[音乐][中国赞][中国赞]1[中国赞]2[好爱哦]2[好爱哦]1[好爱哦]	金志文是个有才华的段子手	@我就不告诉你我是谁啦啦啦	好啊我等你唱给我听[挤眼][微风][心]	#金志文#“言念君子，温其如玉。”用来形容经典传唱人@金志文-GT;;演绎的关关雎鸠-金志文最贴合不过了好词曲、好节目、经过这么优秀的经典传唱人、优秀的幕后工作人员的演绎必将永流传#经典咏流传#[音乐][中国赞][中国赞]1[中国赞]2[好爱哦]2[好爱哦]1[好爱哦]	好美的声音	寻味诗情画意，好听，乐队也很赞，中国风[中国赞][中国赞]1	好好听，好帅啊[爱你][爱你]2[爱你]1[爱你]4[爱你]3	金志文唱歌真不错，把诗经唱活了	@MaggieNobilli;;水平如何	#金志文#关关雎鸠-金志文[音乐]	,0
10006,中国养猪出现猪瘟疫情，为啥还要往非洲那么遥远的地方绕个弯，史书记载!世间万物都发生过疫情，非典是人类疫情，难道说是非洲蚊子协带病毒传染的吗？环保部门什么时候有空关心一下养猪户，不规范的养殖场约束一下，卫生防疫站多给养殖户提供点预防知识，这些疫情还能发生吗？,,1
10007,		最近不太敢发说说 整个朋友圈弥漫“当下你还发自拍 丝毫没有基本的民族责任感” 最近微博的舆论走向特别奇怪 每件事才出来都不敢跟热点 事实也证明这种时候最先被煽动的朋友们最后会被打脸 朋友说的谣言会驱使大众挖根究底 认同 不反对民族愤青们 可不跟风不说明不关注 🙃 ​​​		,,0
10008,【QQ群内与人相约跳崖自杀泉州小伙被;女网友;救下】从泉州匆匆赶来的黄先生终于见到了三年未见的儿子阿水(化名)。阿水原本与“女网友”相约去峨眉山跳崖，被警方拦下。而“女网友”其实为湖南一父亲假扮，他救下了别人的孩子。,,1
10009,四川广安武胜县城南今天抢小孩没抢走，把孩子母亲捅了一刀，看见这车的注意了，真事，车牌号冀DS6005！！！！！赶紧散播！都别带孩子出去瞎转悠了尤其别让老人自己带孩子出去太危险了注意了！！！！晋A21T06，五菱面包车，在各学校门口抢小孩！！！110已经证实！！全市通缉！,啊？又发生这种事情了。	回复@静雪咚咚:太恐怖了！	坏人太猖獗	,-1
10010,急转！！！！！急找孩子，求转，求帮忙寿光实验小学寻人启事13759695559帮忙扩散，今天上午一个三岁多小女孩在寿光蔬菜博览会现场被人拐走了，小女孩能说出她爸爸的手机号码从监控上看是被一个四十多岁男人抱走了现大人都急疯了有知情者请告之万分感谢联系人张静杰13759695559//急找孩子，求转，求帮忙实验小学寻人启事13759695559帮忙扩散，今天上午一个三岁多小女孩在蔬菜博览会现场被人拐走了，小女孩能说出她爸爸的手机号码从监控上看是被一个四十多岁男人抱走了现大人都急疯了有知情者请告之万分感谢看到信息的兄弟姐妹留意一下联系人张静杰13759695559,假的	回复@嬉笑怒骂网:你怎么知道？	你受骗上当了，这是虚假消息！请看辟谣网址（O谣场现形记）。尽快删除帖子，因为已被举报。	回复@土卡拉农产品:张静杰丢了无数个孩子了，人人都知道，就你们这些爱心泛滥的人还在转发	,-1
10011,【地震来了，该如何科学自救？】中国地震网正式测定：01月20日21时50分在新疆乌鲁木齐市乌鲁木齐县（北纬43.57度，东经87.42度）发生4.8级地震，震源深度24千米。地震来了，该如何科学自救？,,1
10012,#儿童伤害曝光台#【游乐设施故障女孩被甩身亡】2月3日下午记者从丰都县委宣传部获悉，该县朝华公园游乐设施“遨游太空”出现故障，导致一名14岁女孩被甩出后抢救无效身亡。|游乐设施发...,太吓人了	昨天还巴巴得想玩这个呢，但是看了别人玩，觉得好吓人。就没玩	,1
10013,我总以为和尚打架要用少林功夫呢没想到很普通人一样也是拳打脚踢呀//【扬州宁国寺3名和尚打架住持发朋友圈：全开除】,,1
